Embedding_modle,Average_Quality,Numberof_Zeros
Alibaba-NLP/gte-multilingual-base,0.4264177557757193,12
dangvantuan/french-document-embedding,0.575826122338465,8
hkunlp/instructor-large,0.579555443999912,12
thenlper/gte-large,0.5921561597653755,11
thenlper/gte-large-zh,0.3879648468678143,16
Alibaba-NLP/gte-large-en-v1.5,0.4025076743285033,16
Lajavaness/bilingual-embedding-large,0.463900163282331,5
Alibaba-NLP/gte-Qwen2-1.5B-instruct,0.5149227882936491,5
Noureddinesa/Invoices_french-document-embedding,0.2932511698929054,14
Noureddinesa/Invoices_bilingual-embedding-large,0.3631742653470721,10
Noureddinesa/Invoices_gte-multilingual-base,0.30551205887405253,14
